category,role,figure_no,title,local_figure_image,page_image,continued_page_image
"动量反转","construction","9","图表9：动量反转类因子构建方式","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png",""
"动量反转","monthly_backtest","10","图表10：动量反转因子在全市场范围内月度回测的有效性检验结果（ICIR 0.5）","figures/figure_10_p009_图表10：动量反转因子在全市场范围内月度回测的有效性检验结果（ICIR_0.5）.png","pages/page_009.png",""
"动量反转","weekly_backtest","11","图表11：动量反转因子在全市场范围内周度回测的有效性检验结果（ICIR 0.5）","figures/figure_11_p009_图表11：动量反转因子在全市场范围内周度回测的有效性检验结果（ICIR_0.5）_continued.png","pages/page_009.png","pages/page_010.png"
"动量反转","long_short_nav","12","图表12：全市场范围内表现较好的动量反转因子年化多空收益统计","figures/figure_12_p010_图表12：全市场范围内表现较好的动量反转因子年化多空收益统计.png","pages/page_010.png",""
"动量反转","excess_nav","13","图表13：全市场范围内表现较好的动量反转因子年化超额收益统计","figures/figure_13_p011_图表13：全市场范围内表现较好的动量反转因子年化超额收益统计.png","pages/page_011.png",""
"动量反转","group_excess","14","图表14：全市场范围内表现较好的动量反转因子分组年化超额收益统计","figures/figure_14_p011_图表14：全市场范围内表现较好的动量反转因子分组年化超额收益统计.png","pages/page_011.png",""
"动量反转","correlation","15","图表15：mmt ols beta mean o与常见因子相关系数","figures/figure_15_p012_图表15：mmt_ols_beta_mean_o与常见因子相关系数.png","pages/page_012.png",""
"波动率","construction","16","图表16：波动率因子构建方式","figures/figure_16_p012_图表16：波动率因子构建方式_continued.png","pages/page_012.png","pages/page_013.png"
"波动率","monthly_backtest","17","图表17：波动性因子在全市场范围内月度回测的有效性检验结果（ICIR 0.5）","figures/figure_17_p013_图表17：波动性因子在全市场范围内月度回测的有效性检验结果（ICIR_0.5）.png","pages/page_013.png",""
"波动率","weekly_backtest","18","图表18：波动性因子在全市场范围内周度回测的有效性检验结果（ICIR 0.5）","figures/figure_18_p013_图表18：波动性因子在全市场范围内周度回测的有效性检验结果（ICIR_0.5）_continued.png","pages/page_013.png","pages/page_014.png"
"波动率","long_short_nav","19","图表19：全市场范围内表现较好的波动性因子年化多空收益统计","figures/figure_19_p014_图表19：全市场范围内表现较好的波动性因子年化多空收益统计.png","pages/page_014.png",""
"波动率","excess_nav","20","图表20：全市场范围内表现较好的波动性因子年化超额收益统计","figures/figure_20_p015_图表20：全市场范围内表现较好的波动性因子年化超额收益统计.png","pages/page_015.png",""
"波动率","group_excess","21","图表21：全市场范围内表现较好的波动性因子分组年化超额收益统计","figures/figure_21_p015_图表21：全市场范围内表现较好的波动性因子分组年化超额收益统计.png","pages/page_015.png",""
"波动率","correlation","22","图表22：vol downRatio o与常见因子相关系数","figures/figure_22_p016_图表22：vol_downRatio_o与常见因子相关系数.png","pages/page_016.png",""
"高阶特征","construction","23","图表23：高阶特征因子构建方式","figures/figure_23_p017_图表23：高阶特征因子构建方式_continued.png","pages/page_017.png","pages/page_018.png"
"高阶特征","monthly_backtest","24","图表24：高阶特征因子在全市场范围内月度回测的有效性检验结果（ICIR 0.5）","figures/figure_24_p018_图表24：高阶特征因子在全市场范围内月度回测的有效性检验结果（ICIR_0.5）.png","pages/page_018.png",""
"高阶特征","weekly_backtest","25","图表25：高阶特征因子在全市场范围内周度回测的有效性检验结果（ICIR 0.5）","figures/figure_25_p018_图表25：高阶特征因子在全市场范围内周度回测的有效性检验结果（ICIR_0.5）_continued.png","pages/page_018.png","pages/page_019.png"
"高阶特征","long_short_nav","26","图表26：全市场范围内表现较好的高阶特征因子年化多空收益统计","figures/figure_26_p019_图表26：全市场范围内表现较好的高阶特征因子年化多空收益统计.png","pages/page_019.png",""
"高阶特征","excess_nav","27","图表27：全市场范围内表现较好的高阶特征因子年化超额收益统计","figures/figure_27_p020_图表27：全市场范围内表现较好的高阶特征因子年化超额收益统计.png","pages/page_020.png",""
"高阶特征","correlation","28","图表28：shape skratio m与常见因子相关系数","figures/figure_28_p020_图表28：shape_skratio_m与常见因子相关系数.png","pages/page_020.png",""
"高阶特征","group_excess","29","图表29：全市场范围内表现较好的高阶特征因子分组年化超额收益统计","figures/figure_29_p021_图表29：全市场范围内表现较好的高阶特征因子分组年化超额收益统计.png","pages/page_021.png",""
"流动性","construction","30","图表30：流动性因子构建方式","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png","pages/page_023.png"
"流动性","monthly_backtest","31","图表31：流动性因子在全市场范围内月度回测的有效性检验结果（ICIR 0.5）","figures/figure_31_p023_图表31：流动性因子在全市场范围内月度回测的有效性检验结果（ICIR_0.5）_continued.png","pages/page_023.png","pages/page_024.png"
